n,d,r,factorial_n,ball_size,degree,band_determinant,sign_adjacency_eigenvalue,least_adjacency_eigenvalue,laplacian_gap,least_complement_eigenvalue,least_ball_operator_eigenvalue,hoffman_clique_bound
3,1,0,6,1,5,1,-1,-1.0000000000000009,6.0,0.0,1.0,
3,2,1,6,3,3,-1,1,-2.0,1.9999999999999998,-1.9999999999999998,-0.9999999999999998,2.9999999999999996
3,3,2,6,6,0,0,0,0.0,0.0,-1.0000000000000009,-8.881784197001252e-16,1.0000000000000007
4,1,0,24,1,23,1,-1,-1.0000000000000189,23.999999999999996,0.0,1.0,
4,2,1,24,5,19,-1,1,-4.23606797749979,17.999999999999996,-2.0000000000000013,-1.0000000000000013,8.000000000000002
4,3,2,24,14,10,0,0,-6.000000000000001,7.999999999999998,-3.000000000000002,-2.000000000000002,4.500000000000003
4,4,3,24,24,0,0,0,0.0,0.0,-1.0000000000000189,-1.887379141862766e-14,1.0000000000000182
5,1,0,120,1,119,1,-1,-1.0000000000000768,119.99999999999989,0.0,1.0,
5,2,1,120,8,112,0,0,-7.162277660168389,109.99999999999999,-3.0000000000000067,-2.0000000000000067,36.00000000000006
5,3,2,120,31,89,1,-1,-19.426860441876578,84.20871215252208,-5.79128784747793,-4.79128784747793,19.416863250600308
5,4,3,120,78,42,0,0,-24.000000000000025,29.99999999999999,-13.000000000000014,-12.000000000000014,17.33333333333335
5,5,4,120,120,0,0,0,0.0,0.0,-1.0000000000000768,-7.682743330406083e-14,1.0000000000000762
